Allergic condition,Read code,Term
drug allergy,Xa5se,Piperacillin allergy
drug allergy,Xa5sE,Ofloxacin allergy
drug allergy,Xa5sf,Azlocillin allergy
drug allergy,Xa5sF,Norfloxacin allergy
drug allergy,Xa5sg,Ticarcillin allergy
drug allergy,Xa5sG,Temafloxacin allergy
drug allergy,Xa5sh,Carfecillin allergy
drug allergy,Xa5sH,Penicillin allergy
drug allergy,Xa5si,Mecillinam allergy
drug allergy,Xa5sI,Penicillinase-sensitive penicillins allergy
drug allergy,Xa5sj,Pivmecillinam allergy
drug allergy,Xa5sJ,Benethamine penicillin allergy
drug allergy,Xa5sk,Combined penicillin preparation allergy
drug allergy,Xa5sK,Benzathine penicillin allergy
drug allergy,Xa5sl,Ampicillin and cloxacillin allergy
drug allergy,Xa5sL,Phenethicillin allergy
drug allergy,Xa5sm,Co-amoxiclav allergy
drug allergy,Xa5sM,Phenoxymethylpenicillin allergy
drug allergy,Xa5sn,Co-fluampicil allergy
drug allergy,Xa5sN,Procaine benzylpenicillin allergy
drug allergy,Xa5so,Piperacillin and tazobactam allergy
drug allergy,Xa5sO,Benzylpenicillin allergy
drug allergy,Xa5sp,Pivampicillin and pivmecillinam allergy
drug allergy,Xa5sP,Penicillinase-resistant penicillins allergy
drug allergy,Xa5sq,Ticarcillin and clavulanic acid allergy
drug allergy,Xa5sQ,Cloxacillin allergy
drug allergy,Xa5sr,Polymyxins allergy
drug allergy,Xa5sR,Flucloxacillin allergy
drug allergy,Xa5ss,Colistin allergy
drug allergy,Xa5sS,Methicillin allergy
drug allergy,Xa5st,Polymyxin B allergy
drug allergy,Xa5sT,Broad spectrum penicillins allergy
drug allergy,Xa5su,Carbapenem allergy
drug allergy,Xa5sU,Amoxicillin allergy
drug allergy,Xa5sv,Cephalosporin allergy
drug allergy,Xa5sV,Ampicillin allergy
drug allergy,Xa5sw,First generation cephalosporin allergy
drug allergy,Xa5sW,Ciclacillin allergy
drug allergy,Xa5sx,Cefadroxil allergy
drug allergy,Xa5sX,Mezlocillin allergy
drug allergy,Xa5sy,Cefalexin allergy
drug allergy,Xa5sY,Pivampicillin allergy
drug allergy,Xa5sz,Cephalothin allergy
drug allergy,Xa5sZ,Carbenicillin allergy
drug allergy,Xa5t0,Cefazolin allergy
drug allergy,Xa5t1,Cefradine allergy
drug allergy,Xa5t2,Latamoxef allergy
drug allergy,Xa5t3,Second generation cephalosporin allergy
drug allergy,Xa5t4,Cefaclor allergy
drug allergy,Xa5t5,Cefuroxime allergy
drug allergy,Xa5t6,Cephamandole allergy
drug allergy,Xa5t7,Third generation cephalosporin allergy
drug allergy,Xa5t8,Cefotaxime allergy
drug allergy,Xa5t9,Ceftazidime allergy
drug allergy,Xa5ta,Sulfadiazine allergy
drug allergy,Xa5tA,Ceftizoxime allergy
drug allergy,Xa5tb,Sulphadimethoxine allergy
drug allergy,Xa5tB,Cefixime allergy
drug allergy,Xa5tc,Sulfadimidine allergy
drug allergy,Xa5tC,Cefodizime allergy
drug allergy,Xa5td,Sulphafurazole allergy
drug allergy,Xa5tD,Cefpodoxime allergy
drug allergy,Xa5te,Sulphaguanidine allergy
drug allergy,Xa5tE,Ceftriaxone allergy
drug allergy,Xa5tf,Sulphaurea allergy
drug allergy,Xa5tF,Ceftibuten allergy
drug allergy,Xa5tg,Mafenide allergy
drug allergy,Xa5tG,Cefsulodin allergy
drug allergy,Xa5th,Silver sulfadiazine allergy
drug allergy,Xa5tH,Fourth generation cephalosporin allergy
drug allergy,Xa5ti,Combined sulphonamides allergy
drug allergy,Xa5tI,Cefpirome allergy
drug allergy,Xa5tj,Sulfacetamide allergy
drug allergy,Xa5tJ,Cephamycin allergy
drug allergy,Xa5tk,Tetracyclines group allergy
drug allergy,Xa5tK,Cefoxitin allergy
drug allergy,Xa5tl,Clomocycline sodium allergy
drug allergy,Xa5tL,Fosfomycin allergy
drug allergy,Xa5tm,Doxycycline allergy
drug allergy,Xa5tM,Lincomycin and derivatives allergy
drug allergy,Xa5tn,Lymecycline allergy
drug allergy,Xa5tN,Clindamycin allergy
drug allergy,Xa5to,Minocycline allergy
drug allergy,Xa5tO,Lincomycin allergy
drug allergy,Xa5tp,Oxytetracycline allergy
drug allergy,Xa5tP,Mandelic acid allergy
drug allergy,Xa5tq,Compound tetracycline preparations allergy
drug allergy,Xa5tQ,Monobactam allergy
drug allergy,Xa5tr,Chlortetracycline allergy
drug allergy,Xa5tR,Aztreonam allergy
drug allergy,Xa5ts,Demeclocycline allergy
drug allergy,Xa5tS,Nitroimidazole allergy
drug allergy,Xa5tt,Tetracycline allergy
drug allergy,Xa5tT,Metronidazole allergy
drug allergy,Xa5tu,Chloramphenicol allergy
drug allergy,Xa5tU,Tinidazole allergy
drug allergy,Xa5tv,Co-trimoxazole allergy
drug allergy,Xa5tV,Nimorazole allergy
drug allergy,Xa5tw,Antiprotozoal drug allergy
drug allergy,Xa5tW,Sulphonamide allergy
drug allergy,Xa5tx,Atovaquone allergy
drug allergy,Xa5tX,Calcium sulphaloxate allergy
drug allergy,Xa5ty,Antimony antiprotozoal allergy
drug allergy,Xa5tY,Phthalylsulfathiazole allergy
drug allergy,Xa5tz,Sodium stibogluconate allergy
drug allergy,Xa5tZ,Sulfametopyrazine allergy
drug allergy,Xa5u0,Diamidine antiprotozoal allergy
drug allergy,Xa5u1,Pentamidine allergy
drug allergy,Xa5u2,Dichloroacetamide antiprotozoal allergy
drug allergy,Xa5u3,Diloxanide allergy
drug allergy,Xa5u4,Hydroxyquinoline antiprotozoal allergy
drug allergy,Xa5u5,Clioquinol allergy
drug allergy,Xa5u6,Antimycobacterial agent allergy
drug allergy,Xa5u7,Antituberculous drug allergy
drug allergy,Xa5u8,Pyrazinamide allergy
drug allergy,Xa5u9,Antibiotic antituberculosis drug allergy
drug allergy,Xa5ua,Intravenous immunoglobulin allergy
drug allergy,Xa5uA,Capreomycin allergy
drug allergy,Xa5ub,Anti-D (Rh) immunoglobulin allergy
drug allergy,Xa5uB,Cycloserine allergy
drug allergy,Xa5uc,Hepatitis B immunoglobulin allergy
drug allergy,Xa5uC,Rifampicin allergy
drug allergy,Xa5ud,Tetanus immunoglobulin allergy
drug allergy,Xa5uD,Rifabutin allergy
drug allergy,Xa5ue,Varicella-zoster immunoglobulin allergy
drug allergy,Xa5uE,Hydrazide antituberculosis drug allergy
drug allergy,Xa5uf,Vaccines allergy
drug allergy,Xa5uF,Isoniazid allergy
drug allergy,Xa5ug,Anthrax vaccine allergy
drug allergy,Xa5uG,Ethambutolol allergy
drug allergy,Xa5uh,Diphtheria vaccines allergy
drug allergy,Xa5uH,Antileprotic drug allergy
drug allergy,Xa5ui,Diphtheria single antigen vaccine allergy
drug allergy,Xa5uI,Dapsone allergy
drug allergy,Xa5uj,Diphtheria and tetanus vaccine allergy
drug allergy,Xa5uJ,Clofazimine allergy
drug allergy,Xa5uk,Diphtheria and tetanus and pertussis vaccine allergy
drug allergy,Xa5uK,Pesticide allergy
drug allergy,Xa5ul,Hepatitis B vaccine allergy
drug allergy,Xa5uL,Benzyl benzoate allergy
drug allergy,Xa5um,Influenza vaccine allergy
drug allergy,Xa5uM,Monosulfiram allergy
drug allergy,Xa5un,Influenza split virion vaccine allergy
drug allergy,Xa5uN,Carbamate pesticide allergy
drug allergy,Xa5uo,Influenza surface antigen vaccine allergy
drug allergy,Xa5uO,Carbaryl allergy
drug allergy,Xa5up,Mumps vaccine allergy
drug allergy,Xa5uP,Chlorinated pesticide allergy
drug allergy,Xa5uq,Pertussis vaccine allergy
drug allergy,Xa5uQ,Lindane allergy
drug allergy,Xa5ur,Pneumococcal vaccine allergy
drug allergy,Xa5uR,Organophosphate pesticide allergy
drug allergy,Xa5us,Poliomyelitis vaccine allergy
drug allergy,Xa5uS,Malathion allergy
drug allergy,Xa5ut,Rabies vaccine allergy
drug allergy,Xa5uT,Pyrethroid pesticides allergy
drug allergy,Xa5uu,Rubella vaccine allergy
drug allergy,Xa5uU,Phenothrin allergy
drug allergy,Xa5uv,Smallpox vaccine allergy
drug allergy,Xa5uV,Permethrin allergy
drug allergy,Xa5uw,Tetanus vaccine allergy
drug allergy,Xa5uW,"Vaccine, immunoglobulins and antisera allergy"
drug allergy,Xa5ux,Typhoid vaccine allergy
drug allergy,Xa5uX,Immunoglobulin products allergy
drug allergy,Xa5uy,Typhoid polysaccharide vaccine allergy
drug allergy,Xa5uY,Human immunoglobulin allergy
drug allergy,Xa5uz,Typhoid whole cell vaccine allergy
drug allergy,Xa5uZ,Intramuscular immunoglobulin allergy
drug allergy,Xa5v0,Measles/mumps/rubella vaccine allergy
drug allergy,Xa5v1,Hepatitis A vaccine allergy
drug allergy,Xa5v2,Haemophilus influenzae Type B vaccine allergy
drug allergy,Xa5v3,Meningococcal polysaccharide vaccine allergy
drug allergy,Xa5v4,Antisera allergy
drug allergy,Xa5v5,Clostridium botulinum allergy
drug allergy,Xa5v6,Botulism antitoxin allergy
drug allergy,Xa5v7,Diphtheria antitoxin allergy
drug allergy,Xa5v8,"Hormones, synthetic substitutes and antagonists allergy"
drug allergy,Xa5v9,Glucagon allergy
drug allergy,Xa5va,Fludrocortisone allergy
drug allergy,Xa5vA,Antithyroid drug allergy
drug allergy,Xa5vb,Fluocinolone allergy
drug allergy,Xa5vB,Thiourea antithyroid agent allergy
drug allergy,Xa5vc,Fluticasone allergy
drug allergy,Xa5vC,Carbimazole allergy
drug allergy,Xa5vd,Mometasone allergy
drug allergy,Xa5vD,Thiouracil antithyroid agent allergy
drug allergy,Xa5ve,Dexamethasone allergy
drug allergy,Xa5vE,Propylthiouracil allergy
drug allergy,Xa5vf,Topical dexamethasone allergy
drug allergy,Xa5vF,Corticosteroids allergy
drug allergy,Xa5vg,Topical compound dexamethasone preparation allergy
drug allergy,Xa5vG,Betamethasone allergy
drug allergy,Xa5vh,Methylprednisolone allergy
drug allergy,Xa5vH,Hydrocortisone allergy
drug allergy,Xa5vi,Prednisolone allergy
drug allergy,Xa5vI,Topical hydrocortisone allergy
drug allergy,Xa5vj,Topical prednisolone allergy
drug allergy,Xa5vJ,Topical compound hydrocortisone preparation allergy
drug allergy,Xa5vk,Prednisolone drops allergy
drug allergy,Xa5vK,Prednisone allergy
drug allergy,Xa5vl,Rectal prednisolone preparations allergy
drug allergy,Xa5vL,Fluorometholone allergy
drug allergy,Xa5vm,Triamcinolone allergy
drug allergy,Xa5vM,Flunisolide allergy
drug allergy,Xa5vn,Budesonide allergy
drug allergy,Xa5vN,Desonide allergy
drug allergy,Xa5vo,Topical budesonide allergy
drug allergy,Xa5vO,Desoximetasone allergy
drug allergy,Xa5vp,Insulin allergy
drug allergy,Xa5vP,Fluocinonide allergy
drug allergy,Xa5vq,Soluble neutral insulin allergy
drug allergy,Xa5vQ,Fluocortolone allergy
drug allergy,Xa5vr,Biphasic insulin allergy
drug allergy,Xa5vR,Fludroxycortide allergy
drug allergy,Xa5vs,Insulin zinc suspension allergy
drug allergy,Xa5vS,Halcinonide allergy
drug allergy,Xa5vt,Insulin zinc suspension (amorphous) allergy
drug allergy,Xa5vT,Alclometasone allergy
drug allergy,Xa5vu,Insulin zinc suspension (crystalline) allergy
drug allergy,Xa5vU,Beclometasone allergy
drug allergy,Xa5vv,Isophane insulin allergy
drug allergy,Xa5vV,Clobetasol allergy
drug allergy,Xa5vw,Protamine zinc insulin allergy
drug allergy,Xa5vW,Clobetasone allergy
drug allergy,Xa5vx,Biphasic isophane insulin allergy
drug allergy,Xa5vX,Cortisone allergy
drug allergy,Xa5vy,Humulin insulin allergy
drug allergy,Xa5vY,Diflucortolone allergy
drug allergy,Xa5vz,Initard insulin allergy
drug allergy,Xa5vZ,Fluclorolone allergy
drug allergy,Xa5w0,Pur-In-Mix insulin allergy
drug allergy,Xa5w1,Mixtard insulin allergy
drug allergy,Xa5w2,Oral hypoglycaemic allergy
drug allergy,Xa5w3,Sulphonylurea allergy
drug allergy,Xa5w4,Acetohexamide allergy
drug allergy,Xa5w5,Chlorpropamide allergy
drug allergy,Xa5w6,Glibenclamide allergy
drug allergy,Xa5w7,Glibornuride allergy
drug allergy,Xa5w8,Gliclazide allergy
drug allergy,Xa5w9,Glipizide allergy
drug allergy,Xa5wa,Cyclofenil allergy
drug allergy,Xa5wA,Gliquidone allergy
drug allergy,Xa5wb,Danazol allergy
drug allergy,Xa5wB,Glymidine allergy
drug allergy,Xa5wc,Gestrinone allergy
drug allergy,Xa5wC,Tolazamide allergy
drug allergy,Xa5wd,Anti-androgens allergy
drug allergy,Xa5wD,Tolbutamide allergy
drug allergy,Xa5we,Finasteride allergy
drug allergy,Xa5wE,Biguanide allergy
drug allergy,Xa5wf,Flutamide allergy
drug allergy,Xa5wF,Metformin allergy
drug allergy,Xa5wg,Bicalutamide allergy
drug allergy,Xa5wG,Guar gum allergy
drug allergy,Xa5wh,Cyproterone acetate and ethinylestradiol allergy
drug allergy,Xa5wH,Acarbose allergy
drug allergy,Xa5wi,Cyproterone allergy
drug allergy,Xa5wI,Sex hormones allergy
drug allergy,Xa5wj,Combined oral contraceptive allergy
drug allergy,Xa5wJ,Progestogen allergy
drug allergy,Xa5wk,Androgen allergy
drug allergy,Xa5wK,Allyloestrenol allergy
drug allergy,Xa5wl,Mesterolone allergy
drug allergy,Xa5wL,Dydrogesterone allergy
drug allergy,Xa5wm,Methyltestosterone allergy
drug allergy,Xa5wM,Progesterone allergy
drug allergy,Xa5wn,Testosterone allergy
drug allergy,Xa5wN,Gestonorone allergy
drug allergy,Xa5wo,Testosterone implant allergy
drug allergy,Xa5wO,Hydroxyprogesterone allergy
drug allergy,Xa5wp,Intramuscular testosterone allergy
drug allergy,Xa5wP,Megestrol allergy
drug allergy,Xa5wq,Oral testosterone allergy
drug allergy,Xa5wQ,Norethisterone allergy
drug allergy,Xa5wr,Testosterone patch allergy
drug allergy,Xa5wR,Etynodiol diacetate allergy
drug allergy,Xa5ws,Oestrogen allergy
drug allergy,Xa5wS,Levonorgestrel allergy
drug allergy,Xa5wt,Estradiol allergy
drug allergy,Xa5wT,Medroxyprogesterone allergy
drug allergy,Xa5wu,Oral estradiol allergy
drug allergy,Xa5wU,Anabolic steroids allergy
drug allergy,Xa5wv,Estradiol implant allergy
drug allergy,Xa5wV,Tibolone allergy
drug allergy,Xa5ww,Topical estradiol allergy
drug allergy,Xa5wW,Drostanolone propionate allergy
drug allergy,Xa5wx,Piperazine estrone sulphate allergy
drug allergy,Xa5wX,Oxymetholone allergy
drug allergy,Xa5wy,Quinestradol allergy
drug allergy,Xa5wY,Nandrolone allergy
drug allergy,Xa5wz,Quinestrol allergy
drug allergy,Xa5wZ,Stanozolol allergy
drug allergy,Xa5x0,Dienestrol allergy
drug allergy,Xa5x1,Polyestradiol phosphate allergy
drug allergy,Xa5x2,Fosfestrol allergy
drug allergy,Xa5x3,Mestranol allergy
drug allergy,Xa5x4,Ethinylestradiol allergy
drug allergy,Xa5x5,Estriol allergy
drug allergy,Xa5x6,Conjugated oestrogens allergy
drug allergy,Xa5x7,Diethylstilbestrol allergy
drug allergy,Xa5x8,Oestrogen and progestogen preparation allergy
drug allergy,Xa5x9,Clomifene allergy
drug allergy,Xa5xa,Somatrophic hormone allergy
drug allergy,Xa5xA,Ergoline drug allergy
drug allergy,Xa5xb,Octreotide allergy
drug allergy,Xa5xB,Cabergoline allergy
drug allergy,Xa5xc,Growth hormone allergy
drug allergy,Xa5xC,Quinagolide allergy
drug allergy,Xa5xd,Thyrotrophic hormone allergy
drug allergy,Xa5xD,Thyroid agent allergy
drug allergy,Xa5xe,Protirelin allergy
drug allergy,Xa5xE,Liothyronine allergy
drug allergy,Xa5xf,Thyrotrophin allergy
drug allergy,Xa5xF,Thyroxine allergy
drug allergy,Xa5xg,Calcium regulating agent allergy
drug allergy,Xa5xG,Hypothalamic/pituitary hormone allergy
drug allergy,Xa5xh,Biphosphonates allergy
drug allergy,Xa5xH,Antidiuretic hormone allergy
drug allergy,Xa5xi,Disodium etidronate allergy
drug allergy,Xa5xI,Desmopressin allergy
drug allergy,Xa5xj,Disodium pamidronate allergy
drug allergy,Xa5xJ,Lypressin allergy
drug allergy,Xa5xk,Sodium clodronate allergy
drug allergy,Xa5xK,Terlipressin allergy
drug allergy,Xa5xl,Disodium etidronate and calcium carbonate allergy
drug allergy,Xa5xL,Vasopressin allergy
drug allergy,Xa5xm,Calcium regulating hormone allergy
drug allergy,Xa5xM,Corticotrophic hormone allergy
drug allergy,Xa5xn,Calcitonin allergy
drug allergy,Xa5xN,Corticotropins allergy
drug allergy,Xa5xo,Calcitonin (salmon) allergy
drug allergy,Xa5xO,Tetracosactide allergy
drug allergy,Xa5xp,Calcitonin (pork) allergy
drug allergy,Xa5xP,Gonad regulating hormone allergy
drug allergy,Xa5xq,Haematological agents allergy
drug allergy,Xa5xQ,Gonadorelin allergy
drug allergy,Xa5xr,Erythropoietin allergy
drug allergy,Xa5xR,Nafarelin allergy
drug allergy,Xa5xs,Epoetin alfa allergy
drug allergy,Xa5xS,Buserelin allergy
drug allergy,Xa5xt,Epoetin beta allergy
drug allergy,Xa5xT,Goserelin allergy
drug allergy,Xa5xu,Plasma substitutes allergy
drug allergy,Xa5xU,Triptorelin allergy
drug allergy,Xa5xv,Gelatin allergy
drug allergy,Xa5xV,Gonadotrophic hormone allergy
drug allergy,Xa5xw,Hetastarch allergy
drug allergy,Xa5xW,Leuprorelin allergy
drug allergy,Xa5xx,Pentastarch allergy
drug allergy,Xa5xX,Oxytocic hormone allergy
drug allergy,Xa5xy,Dextran allergy
drug allergy,Xa5xY,Oxytocin allergy
drug allergy,Xa5xz,Perfluorochemical allergy
drug allergy,Xa5xZ,Oxytocin and ergometrine allergy
drug allergy,Xa5y0,Plasma protein solution allergy
drug allergy,Xa5y1,Blood derivative allergy
drug allergy,Xa5y2,Albumin solution allergy
drug allergy,Xa5y3,Antithrombin III allergy
drug allergy,Xa5y4,Blood clotting factor allergy
drug allergy,Xa5y5,Factor VIII fraction products allergy
drug allergy,Xa5y6,Factor IX fraction products allergy
drug allergy,Xa5y7,Activated factor VII products allergy
drug allergy,Xa5y8,Acset allergy
drug allergy,Xa5y9,Factor IX by-passing fraction products allergy
drug allergy,Xa5ya,Aprotinin allergy
drug allergy,Xa5yA,Factor V concentrate products allergy
drug allergy,Xa5yb,"Foods, vitamins, electrolytes and inorganic salts allergy"
drug allergy,Xa5yB,Factor VII concentrate products allergy
drug allergy,Xa5yc,Iron allergy
drug allergy,Xa5yC,Factor VIII by-passing fraction products allergy
drug allergy,Xa5yd,Iron and folic acid allergy
drug allergy,Xa5yD,Factor XI products allergy
drug allergy,Xa5ye,Polysaccharide iron complex allergy
drug allergy,Xa5yE,Factor XIII products allergy
drug allergy,Xa5yf,Sodium feredetate allergy
drug allergy,Xa5yF,von Willebrand factor products allergy
drug allergy,Xa5yg,Compound iron preparations allergy
drug allergy,Xa5yG,Anticoagulant allergy
drug allergy,Xa5yh,Iron sorbitol allergy
drug allergy,Xa5yH,Direct acting anticoagulant allergy
drug allergy,Xa5yi,Ferrous salt allergy
drug allergy,Xa5yI,Ancrod allergy
drug allergy,Xa5yj,Ferrous fumarate allergy
drug allergy,Xa5yJ,Heparin allergy
drug allergy,Xa5yk,Ferrous gluconate allergy
drug allergy,Xa5yK,Enoxaparin allergy
drug allergy,Xa5yl,Ferrous glycine sulphate allergy
drug allergy,Xa5yL,Dalteparin allergy
drug allergy,Xa5ym,Ferrous succinate allergy
drug allergy,Xa5yM,Tinzaparin allergy
drug allergy,Xa5yn,Ferrous sulphate allergy
drug allergy,Xa5yN,Heparinoid allergy
drug allergy,Xa5yo,Ferrous phosphate allergy
drug allergy,Xa5yO,Danaparoid sodium allergy
drug allergy,Xa5yp,Intravenous nutrition allergy
drug allergy,Xa5yP,Indirect acting anticoagulant allergy
drug allergy,Xa5yq,Supplementary preparations for parenteral nutrition allergy
drug allergy,Xa5yQ,Coumarin anticoagulant allergy
drug allergy,Xa5yr,Intravenous nutrition (electrolytes/trace elements) allergy
drug allergy,Xa5yR,Acenocoumarol allergy
drug allergy,Xa5ys,Intravenous nutrition (vitamins) allergy
drug allergy,Xa5yS,Warfarin allergy
drug allergy,Xa5yt,Intravenous nutrition (amino acids) allergy
drug allergy,Xa5yT,Indanedione anticoagulant allergy
drug allergy,Xa5yu,Intravenous nutrition (carbohydrate) allergy
drug allergy,Xa5yU,Phenindione allergy
drug allergy,Xa5yv,Intravenous nutrition (fats) allergy
drug allergy,Xa5yV,Haemostatic allergy
drug allergy,Xa5yw,Intravenous nutrition (ready mixed) allergy
drug allergy,Xa5yW,Etamsylate allergy
drug allergy,Xa5yx,L-Carnitine allergy
drug allergy,Xa5yX,Thromboplastin allergy
drug allergy,Xa5yy,Iodine compounds allergy
drug allergy,Xa5yY,Tranexamic acid allergy
drug allergy,Xa5yz,Iodine allergy
drug allergy,Xa5yZ,Collagen allergy
drug allergy,Xa5z0,Iodophore allergy
drug allergy,Xa5z1,Povidone iodine allergy
drug allergy,Xa5z2,Multiple electrolyte infusion allergy
drug allergy,Xa5z3,Enteral and supplement feeds allergy
drug allergy,Xa5z4,Oral rehydration salts allergy
drug allergy,Xa5z5,Vitamin products allergy
drug allergy,Xa5z6,Multivitamin and mineral preparations allergy
drug allergy,Xa5z7,Fat soluble vitamin allergy
drug allergy,Xa5z8,Vitamin A allergy
drug allergy,Xa5z9,Vitamin D allergy
drug allergy,Xa5za,Fluoride allergy
drug allergy,Xa5zA,Vitamin K allergy
drug allergy,Xa5zb,Sodium fluoride allergy
drug allergy,Xa5zB,Alpha-tocopheryl allergy
drug allergy,Xa5zc,Drug groups primarily affecting cardiovascular syst allergy
drug allergy,Xa5zC,Water soluble vitamin allergy
drug allergy,Xa5zd,Lipid-lowering drug allergy
drug allergy,Xa5zD,Vitamin B group allergy
drug allergy,Xa5ze,Dextrothyroxine sodium allergy
drug allergy,Xa5zE,Nicotinic acid allergy
drug allergy,Xa5zf,Gemfibrozil allergy
drug allergy,Xa5zF,Folic acid allergy
drug allergy,Xa5zg,Probucol allergy
drug allergy,Xa5zG,Folinic acid allergy
drug allergy,Xa5zh,Acipimox allergy
drug allergy,Xa5zH,Vitamin B12 preparation allergy
drug allergy,Xa5zi,Anion exchange resins allergy
drug allergy,Xa5zI,Hydroxocobalamin allergy
drug allergy,Xa5zj,Colestipol allergy
drug allergy,Xa5zJ,Cyanocobalamin allergy
drug allergy,Xa5zk,Colestyramine allergy
drug allergy,Xa5zK,Nicotinamide allergy
drug allergy,Xa5zl,Clofibrate group allergy
drug allergy,Xa5zL,Vitamin B complex preparations allergy
drug allergy,Xa5zm,Bezafibrate allergy
drug allergy,Xa5zM,Inositol allergy
drug allergy,Xa5zn,Clofibrate allergy
drug allergy,Xa5zN,Pyridoxine preparation allergy
drug allergy,Xa5zo,Fenofibrate allergy
drug allergy,Xa5zO,Thiamine preparation allergy
drug allergy,Xa5zp,Ciprofibrate allergy
drug allergy,Xa5zP,Ascorbic acid allergy
drug allergy,Xa5zq,Fish oils allergy
drug allergy,Xa5zQ,Ion exchange resin allergy
drug allergy,Xa5zr,Omega 3-marine triglycerides allergy
drug allergy,Xa5zR,Cation exchange resin allergy
drug allergy,Xa5zs,HMG COA reductase inhibitor allergy
drug allergy,Xa5zS,Sodium cellulose phosphate allergy
drug allergy,Xa5zt,Simvastatin allergy
drug allergy,Xa5zT,Calcium polystyrene sulphonate allergy
drug allergy,Xa5zu,Fluvastatin allergy
drug allergy,Xa5zU,Sodium polystyrene sulphonate allergy
drug allergy,Xa5zv,Pravastatin allergy
drug allergy,Xa5zV,Potassium allergy
drug allergy,Xa5zw,Antiarrhythmic drug allergy
drug allergy,Xa5zW,Oral potassium allergy
drug allergy,Xa5zx,Adenosine allergy
drug allergy,Xa5zX,Parenteral potassium allergy
drug allergy,Xa5zy,Class I antiarrhythmic allergy
drug allergy,Xa5zY,Electrolyte anion allergy
drug allergy,Xa5zz,Disopyramide allergy
drug allergy,Xa5zZ,Zinc allergy
drug allergy,Xa600,Quinidine allergy
drug allergy,Xa601,Flecainide allergy
drug allergy,Xa602,Mexiletine allergy
drug allergy,Xa603,Moracizine allergy
drug allergy,Xa604,Procainamide allergy
drug allergy,Xa605,Propafenone allergy
drug allergy,Xa606,Tocainide allergy
drug allergy,Xa607,Class II antiarrhythmic allergy
drug allergy,Xa608,Bretylium allergy
drug allergy,Xa609,Class III antiarrhythmic allergy
drug allergy,Xa60a,Spironolactone and loop diuretic allergy
drug allergy,Xa60A,Amiodarone allergy
drug allergy,Xa60b,Spironolactone and thiazide diuretic allergy
drug allergy,Xa60B,Class IV antiarrhythmic allergy
drug allergy,Xa60c,Triamterene and loop diuretic allergy
drug allergy,Xa60C,Diuretic allergy
drug allergy,Xa60d,Triamterene and thiazide diuretic allergy
drug allergy,Xa60D,Thiazide diuretic allergy
drug allergy,Xa60e,Osmotic diuretic allergy
drug allergy,Xa60E,Bendroflumethiazide allergy
drug allergy,Xa60f,Mannitol allergy
drug allergy,Xa60F,Chlorothiazide allergy
drug allergy,Xa60g,Mercurial diuretic allergy
drug allergy,Xa60G,Cyclopenthiazide allergy
drug allergy,Xa60h,Mersalyl allergy
drug allergy,Xa60H,Hydrochlorothiazide allergy
drug allergy,Xa60i,Thiazide-related diuretic allergy
drug allergy,Xa60I,Hydroflumethiazide allergy
drug allergy,Xa60j,Chlortalidone allergy
drug allergy,Xa60J,Methyclothiazide allergy
drug allergy,Xa60k,Indapamide allergy
drug allergy,Xa60K,Polythiazide allergy
drug allergy,Xa60l,Mefruside allergy
drug allergy,Xa60L,Loop diuretic allergy
drug allergy,Xa60m,Metolazone allergy
drug allergy,Xa60M,Furosemide allergy
drug allergy,Xa60n,Xipamide allergy
drug allergy,Xa60N,Bumetanide allergy
drug allergy,Xa60o,Carbonic anhydrase inhibitor allergy
drug allergy,Xa60O,Etacrynic acid allergy
drug allergy,Xa60p,Dichlorphenamide allergy
drug allergy,Xa60P,Piretanide allergy
drug allergy,Xa60q,Acetazolamide allergy
drug allergy,Xa60Q,Torasemide allergy
drug allergy,Xa60r,Antihypertensive allergy
drug allergy,Xa60R,Potassium sparing diuretic allergy
drug allergy,Xa60s,Adrenergic neurone blocking drug allergy
drug allergy,Xa60S,Triamterene allergy
drug allergy,Xa60t,Bethanidine allergy
drug allergy,Xa60T,Aldosterone antagonists allergy
drug allergy,Xa60u,Debrisoquine allergy
drug allergy,Xa60U,Potassium canrenoate allergy
drug allergy,Xa60v,Guanethidine allergy
drug allergy,Xa60V,Spironolactone allergy
drug allergy,Xa60w,Angiotensin-converting-enzyme inhibitor allergy
drug allergy,Xa60W,Amiloride allergy
drug allergy,Xa60x,Captopril allergy
drug allergy,Xa60X,Potassium sparing compound diuretic allergy
drug allergy,Xa60y,Lisinopril allergy
drug allergy,Xa60Y,Amiloride and loop diuretic allergy
drug allergy,Xa60z,Quinapril allergy
drug allergy,Xa60Z,Amiloride and thiazide diuretic allergy
drug allergy,Xa610,Ramipril allergy
drug allergy,Xa611,Cilazapril allergy
drug allergy,Xa612,Trandolapril allergy
drug allergy,Xa613,Enalapril allergy
drug allergy,Xa614,Fosinopril allergy
drug allergy,Xa615,Perindopril allergy
drug allergy,Xa616,Ganglion-blocking drug allergy
drug allergy,Xa617,Trimetaphan allergy
drug allergy,Xa618,Metirosine allergy
drug allergy,Xa619,Losartan allergy
drug allergy,Xa61a,Nitrate vasodilator allergy
drug allergy,Xa61A,Rauwolfia antihypertensive allergy
drug allergy,Xa61b,Glyceryl trinitrate allergy
drug allergy,Xa61B,Cardiac inotropic agent allergy
drug allergy,Xa61c,Oral glyceryl trinitrate allergy
drug allergy,Xa61C,Cardiac glycoside allergy
drug allergy,Xa61d,Modified release GTN allergy
