Allergy prescription,Read code,Term
oral antihistamines,c8n3.,cetirizine 1mg/1ml sugar free liquid
oral antihistamines,c8n4.,zirtek 1mg/1ml sugar free liquid
oral antihistamines,c8n5.,cetirocol 10mg tablets
oral antihistamines,c8n6.,piriteze 10mg tablets
oral antihistamines,c8n8.,galpharm hayfever and allergy relief tablets
oral antihistamines,c8n9.,zirtek allergy 10mg tablets
oral antihistamines,c8nA.,zirtek allergy relief 10mg tablets
oral antihistamines,c8nB.,benadryl one a day 10mg tablets
oral antihistamines,c8nC.,cetirizine 10mg allergy relief one a day tablets
oral antihistamines,c8nD.,care cetirizine hayfever relief 10mg tablets
oral antihistamines,c8nE.,benadryl allergy 1mg/ml sugar free oral solution
oral antihistamines,c8nF.,zirtek allergy 1mg/ml sugar free oral solution
oral antihistamines,c8nG.,numark hayfever and allergy relief 10mg tablets
oral antihistamines,c8nH.,piriteze allergy syrup 1mg/1ml oral solution
oral antihistamines,c8nI.,galpharm allergy relief 1mg/1ml s/f oral solution
oral antihistamines,c8nJ.,vantage pharmacy hayfever and allergy relief 10mg tablets
oral antihistamines,c8nK.,pollenshield hayfever relief 10mg tablets
oral antihistamines,c8nL.,benadryl allergy liquid release 10mg capsules
oral antihistamines,c8nM.,cetirizine 10mg capsules
oral antihistamines,c8o..,loratadine
oral antihistamines,c8o1.,loratadine 10mg tablets
oral antihistamines,c8o2.,clarityn 10mg tablets
oral antihistamines,c8o3.,loratadine 5mg/5ml syrup
oral antihistamines,c8o4.,clarityn 5mg/5ml syrup
oral antihistamines,c8o5.,clarityn allergy 5mg/5ml syrup
oral antihistamines,c8o6.,clarityn allergy 10mg tablets
oral antihistamines,c8o7.,galpharm non-drowsy allergy relief 10mg tablets
oral antihistamines,c8o8.,numark non-drowsy allergy relief 10mg tablets
oral antihistamines,c8o9.,galpharm non-drowsy hayfever&allergy relief 10mg tablets
oral antihistamines,c8oA.,galpharm non-drowsy allergy relief 5mg/5ml syrup
oral antihistamines,c8oB.,vantage pharmacy non-drowsy allergy relief 10mg tablets
oral antihistamines,c8oC.,vantage pharmacy non-drowsy allergy relief 5mg/5ml syrup
oral antihistamines,c8p..,fexofenadine
oral antihistamines,c8p1.,fexofenadine hydrochloride 120mg tablets
oral antihistamines,c8p2.,telfast 120 tablets
oral antihistamines,c8p3.,fexofenadine hydrochloride 180mg tablets
oral antihistamines,c8p4.,telfast 180 tablets
oral antihistamines,c8p5.,fexofenadine hydrochloride 30mg tablets
oral antihistamines,c8p6.,telfast 30 tablets
oral antihistamines,c8q..,mizolastine
oral antihistamines,c8q1.,mizolastine 10mg m/r tablets
oral antihistamines,c8q2.,mizollen 10mg m/r tablets
oral antihistamines,c8q3.,mistamine 10mg m/r tablets
oral antihistamines,c8r..,desloratadine
oral antihistamines,c8r1.,neoclarityn 5mg tablets
oral antihistamines,c8r2.,neoclarityn 0.5mg/ml syrup
oral antihistamines,c8r3.,neoclarityn 2.5mg/5ml oral solution
oral antihistamines,c8rx.,desloratadine 2.5mg/5ml oral solution
oral antihistamines,c8ry.,desloratadine 0.5mg/ml syrup
oral antihistamines,c8rz.,desloratadine 5mg tablets
oral antihistamines,c8s..,levocetirizine
oral antihistamines,c8s1.,xyzal 5mg tablets
oral antihistamines,c8s2.,xyzal 500micrograms/ml oral solution
oral antihistamines,c8sy.,levocetirizine dihydrochloride 500micrograms/ml oral solution
oral antihistamines,c8sz.,levocetirizine dihydrochloride 5mg tablets
oral antihistamines,c8t..,epinastine
oral antihistamines,c8t1.,relestat 0.5mg/ml eye drops 5ml
oral antihistamines,c8tz.,epinastine hydrochloride 0.5mg/ml eye drops
oral antihistamines,c8u..,rupatadine
oral antihistamines,c8u1.,rupafin 10mg tablets
oral antihistamines,c8uz.,rupatadine 10mg tablets
oral antihistamines,c8v..,bilastine
oral antihistamines,c8v1.,ilaxten 20mg tablets
oral antihistamines,c8v2.,bilastine 20mg tablets
oral antihistamines,x0024,clemastine+phenylpropanolamine
oral antihistamines,x00A2,promethazine product
oral antihistamines,x00ez,calimal 4mg tablet
oral antihistamines,x00f3,clemastine 1.34mg tablet
oral antihistamines,x00ft,promethazine hydrochloride 20mg tablet
oral antihistamines,x00g1,sominex 20mg tablet
oral antihistamines,x01Dq,cetirizine
oral antihistamines,x01Ds,azatadine
oral antihistamines,x01Dt,brompheniramine
oral antihistamines,x01Du,chlorphenamine
oral antihistamines,x01Dw,cyproheptadine
oral antihistamines,x01Dx,dimethindene
oral antihistamines,x01E1,diphenhydramine product
oral antihistamines,x01E2,diphenylpyraline
oral antihistamines,x01E3,hydroxyzine
oral antihistamines,x01E4,mepyramine
oral antihistamines,x01E5,phenindamine
oral antihistamines,x01E6,pheniramine
oral antihistamines,x01EA,triprolidine
oral antihistamines,x01EB,alimemazine
oral antihistamines,x046j,antihistamine
oral antihistamines,x046k,antihistamine forte
oral antihistamines,x04oj,benadryl allergy relief
oral antihistamines,x05db,zirtek allergy
oral antihistamines,x05dc,zirtek allergy relief
oral antihistamines,x05F6,pollenase antihistamine
oral antihistamines,x05F7,rhino-syrup allergy
oral antihistamines,x05fV,pollenase allergy syrup
oral antihistamines,x05gc,cetirizine 10mg allergy relief one a day
oral antihistamines,x05GG,clarityn allergy
oral antihistamines,x05gy,vantage antihistamine
oral antihistamines,x05lq,benadryl allergy
oral antihistamines,x05m3,galpharm non-drowsy allergy relief
oral antihistamines,x05m4,galpharm hayfever and allergy relief
oral antihistamines,x05m6,numark non-drowsy allergy relief
oral antihistamines,x05oU,allergy relief antihistamine
oral antihistamines,x05oV,numark hayfever and allergy relief
oral antihistamines,x05qT,pollenase allergy
oral antihistamines,x05se,piriteze allergy
oral antihistamines,x05xy,vantage non-drowsy allergy relief
oral antihistamines,x05xz,vantage hayfever and allergy relief
topical antihistamines,m34..,topical antihistamines
topical antihistamines,m341.,anthical cream 25g
topical antihistamines,m342.,anthisan cream 25g
topical antihistamines,m343.,caladryl cream 42g
topical antihistamines,m344.,caladryl lotion 125ml
topical antihistamines,m345.,r.b.c. cream 25g
topical antihistamines,m346.,aller-eze cream 25g
topical antihistamines,m347.,diphenhydramine hydrochloride 2% cream
topical antihistamines,m348.,anthisan plus sting relief spray
topical antihistamines,m349.,benadryl skin allergy relief cream 42g
topical antihistamines,m34A.,benadryl skin allergy relief lotion 125ml
topical antihistamines,m34B.,histergan 2% cream 25g
topical antihistamines,m34y.,mepyramine maleate+benzocaine 2%/2% spray
topical antihistamines,m34z.,mepyramine maleate 2% cream
topical antihistamines,x00Fi,caladryl cream
topical antihistamines,x00FS,anthisan cream
topical antihistamines,x00HQ,r.b.c cream
topical antihistamines,x00TB,caladryl lotion
topical antihistamines,x01EC,anthical cream
topical antihistamines,x01FS,piz buin allergy 12 lotion
topical antihistamines,x03dj,aller-eze cream
topical antihistamines,x0583,benadryl skin allergy relief cream
topical antihistamines,x0584,benadryl skin allergy relief lotion
topical antihistamines,x0585,benadryl skin allergy relief
topical antihistamines,x05FI,histergan 2% cream
