cat2,read_term,read_code
drug allergy,Teicoplanin allergy,Xa5s1
drug allergy,Trimethoprim allergy,Xa5s2
drug allergy,Nitrofurantoin allergy,Xa5s3
drug allergy,Methenamine hippurate allergy,Xa5s4
drug allergy,Mupirocin allergy,Xa5s5
drug allergy,Nitrofurazone allergy,Xa5s6
drug allergy,Fusidic acid allergy,Xa5s7
drug allergy,4-quinolones allergy,Xa5s8
drug allergy,Acrosoxacin allergy,Xa5s9
drug allergy,Cinoxacin allergy,Xa5sA
drug allergy,Nalidixic acid allergy,Xa5sB
drug allergy,Ciprofloxacin allergy,Xa5sC
drug allergy,Enoxacin allergy,Xa5sD
drug allergy,Ofloxacin allergy,Xa5sE
drug allergy,Norfloxacin allergy,Xa5sF
drug allergy,Temafloxacin allergy,Xa5sG
drug allergy,Penicillin allergy,Xa5sH
drug allergy,Penicillinase-sensitive penicillins allergy,Xa5sI
drug allergy,Benethamine penicillin allergy,Xa5sJ
drug allergy,Benzathine penicillin allergy,Xa5sK
drug allergy,Phenethicillin allergy,Xa5sL
drug allergy,Phenoxymethylpenicillin allergy,Xa5sM
drug allergy,Procaine benzylpenicillin allergy,Xa5sN
drug allergy,Benzylpenicillin allergy,Xa5sO
drug allergy,Penicillinase-resistant penicillins allergy,Xa5sP
drug allergy,Cloxacillin allergy,Xa5sQ
drug allergy,Flucloxacillin allergy,Xa5sR
drug allergy,Methicillin allergy,Xa5sS
drug allergy,Broad spectrum penicillins allergy,Xa5sT
drug allergy,Amoxicillin allergy,Xa5sU
drug allergy,Ampicillin allergy,Xa5sV
drug allergy,Ciclacillin allergy,Xa5sW
drug allergy,Mezlocillin allergy,Xa5sX
drug allergy,Pivampicillin allergy,Xa5sY
drug allergy,Carbenicillin allergy,Xa5sZ
drug allergy,Bacampicillin allergy,Xa5sa
drug allergy,Talampicillin allergy,Xa5sb
drug allergy,Antipseudomonal penicillins allergy,Xa5sc
drug allergy,Temocillin allergy,Xa5sd
drug allergy,Piperacillin allergy,Xa5se
drug allergy,Azlocillin allergy,Xa5sf
drug allergy,Ticarcillin allergy,Xa5sg
drug allergy,Carfecillin allergy,Xa5sh
drug allergy,Mecillinam allergy,Xa5si
drug allergy,Pivmecillinam allergy,Xa5sj
drug allergy,Combined penicillin preparation allergy,Xa5sk
drug allergy,Ampicillin and cloxacillin allergy,Xa5sl
drug allergy,Co-amoxiclav allergy,Xa5sm
drug allergy,Co-fluampicil allergy,Xa5sn
drug allergy,Piperacillin and tazobactam allergy,Xa5so
drug allergy,Pivampicillin and pivmecillinam allergy,Xa5sp
drug allergy,Ticarcillin and clavulanic acid allergy,Xa5sq
drug allergy,Polymyxins allergy,Xa5sr
drug allergy,Colistin allergy,Xa5ss
drug allergy,Polymyxin B allergy,Xa5st
drug allergy,Carbapenem allergy,Xa5su
drug allergy,Cephalosporin allergy,Xa5sv
drug allergy,First generation cephalosporin allergy,Xa5sw
drug allergy,Cefadroxil allergy,Xa5sx
drug allergy,Cefalexin allergy,Xa5sy
drug allergy,Cephalothin allergy,Xa5sz
drug allergy,Cefazolin allergy,Xa5t0
drug allergy,Cefradine allergy,Xa5t1
drug allergy,Latamoxef allergy,Xa5t2
drug allergy,Second generation cephalosporin allergy,Xa5t3
drug allergy,Cefaclor allergy,Xa5t4
drug allergy,Cefuroxime allergy,Xa5t5
drug allergy,Cephamandole allergy,Xa5t6
drug allergy,Third generation cephalosporin allergy,Xa5t7
drug allergy,Cefotaxime allergy,Xa5t8
drug allergy,Ceftazidime allergy,Xa5t9
drug allergy,Ceftizoxime allergy,Xa5tA
drug allergy,Cefixime allergy,Xa5tB
drug allergy,Cefodizime allergy,Xa5tC
drug allergy,Cefpodoxime allergy,Xa5tD
drug allergy,Ceftriaxone allergy,Xa5tE
drug allergy,Ceftibuten allergy,Xa5tF
drug allergy,Cefsulodin allergy,Xa5tG
drug allergy,Fourth generation cephalosporin allergy,Xa5tH
drug allergy,Cefpirome allergy,Xa5tI
drug allergy,Cephamycin allergy,Xa5tJ
drug allergy,Cefoxitin allergy,Xa5tK
drug allergy,Fosfomycin allergy,Xa5tL
drug allergy,Lincomycin and derivatives allergy,Xa5tM
drug allergy,Clindamycin allergy,Xa5tN
drug allergy,Lincomycin allergy,Xa5tO
drug allergy,Mandelic acid allergy,Xa5tP
drug allergy,Monobactam allergy,Xa5tQ
drug allergy,Aztreonam allergy,Xa5tR
drug allergy,Nitroimidazole allergy,Xa5tS
drug allergy,Metronidazole allergy,Xa5tT
drug allergy,Tinidazole allergy,Xa5tU
drug allergy,Nimorazole allergy,Xa5tV
drug allergy,Sulphonamide allergy,Xa5tW
drug allergy,Calcium sulphaloxate allergy,Xa5tX
drug allergy,Phthalylsulfathiazole allergy,Xa5tY
drug allergy,Sulfametopyrazine allergy,Xa5tZ
drug allergy,Sulfadiazine allergy,Xa5ta
drug allergy,Sulphadimethoxine allergy,Xa5tb
drug allergy,Sulfadimidine allergy,Xa5tc
drug allergy,Sulphafurazole allergy,Xa5td
drug allergy,Sulphaguanidine allergy,Xa5te
drug allergy,Sulphaurea allergy,Xa5tf
drug allergy,Mafenide allergy,Xa5tg
drug allergy,Silver sulfadiazine allergy,Xa5th
drug allergy,Combined sulphonamides allergy,Xa5ti
drug allergy,Sulfacetamide allergy,Xa5tj
drug allergy,Tetracyclines group allergy,Xa5tk
drug allergy,Clomocycline sodium allergy,Xa5tl
drug allergy,Doxycycline allergy,Xa5tm
drug allergy,Lymecycline allergy,Xa5tn
drug allergy,Minocycline allergy,Xa5to
drug allergy,Oxytetracycline allergy,Xa5tp
drug allergy,Compound tetracycline preparations allergy,Xa5tq
drug allergy,Chlortetracycline allergy,Xa5tr
drug allergy,Demeclocycline allergy,Xa5ts
drug allergy,Tetracycline allergy,Xa5tt
drug allergy,Chloramphenicol allergy,Xa5tu
drug allergy,Co-trimoxazole allergy,Xa5tv
drug allergy,Antiprotozoal drug allergy,Xa5tw
drug allergy,Atovaquone allergy,Xa5tx
drug allergy,Antimony antiprotozoal allergy,Xa5ty
drug allergy,Sodium stibogluconate allergy,Xa5tz
drug allergy,Diamidine antiprotozoal allergy,Xa5u0
drug allergy,Pentamidine allergy,Xa5u1
drug allergy,Dichloroacetamide antiprotozoal allergy,Xa5u2
drug allergy,Diloxanide allergy,Xa5u3
drug allergy,Hydroxyquinoline antiprotozoal allergy,Xa5u4
drug allergy,Clioquinol allergy,Xa5u5
drug allergy,Antimycobacterial agent allergy,Xa5u6
drug allergy,Antituberculous drug allergy,Xa5u7
drug allergy,Pyrazinamide allergy,Xa5u8
drug allergy,Antibiotic antituberculosis drug allergy,Xa5u9
drug allergy,Capreomycin allergy,Xa5uA
drug allergy,Cycloserine allergy,Xa5uB
drug allergy,Rifampicin allergy,Xa5uC
drug allergy,Rifabutin allergy,Xa5uD
drug allergy,Hydrazide antituberculosis drug allergy,Xa5uE
drug allergy,Isoniazid allergy,Xa5uF
drug allergy,Ethambutolol allergy,Xa5uG
drug allergy,Antileprotic drug allergy,Xa5uH
drug allergy,Dapsone allergy,Xa5uI
drug allergy,Clofazimine allergy,Xa5uJ
drug allergy,Pesticide allergy,Xa5uK
drug allergy,Benzyl benzoate allergy,Xa5uL
drug allergy,Monosulfiram allergy,Xa5uM
drug allergy,Carbamate pesticide allergy,Xa5uN
drug allergy,Carbaryl allergy,Xa5uO
drug allergy,Chlorinated pesticide allergy,Xa5uP
drug allergy,Lindane allergy,Xa5uQ
drug allergy,Organophosphate pesticide allergy,Xa5uR
drug allergy,Malathion allergy,Xa5uS
drug allergy,Pyrethroid pesticides allergy,Xa5uT
drug allergy,Phenothrin allergy,Xa5uU
drug allergy,Permethrin allergy,Xa5uV
drug allergy,"Vaccine, immunoglobulins and antisera allergy",Xa5uW
drug allergy,Immunoglobulin products allergy,Xa5uX
drug allergy,Human immunoglobulin allergy,Xa5uY
drug allergy,Intramuscular immunoglobulin allergy,Xa5uZ
drug allergy,Intravenous immunoglobulin allergy,Xa5ua
drug allergy,Anti-D (Rh) immunoglobulin allergy,Xa5ub
drug allergy,Hepatitis B immunoglobulin allergy,Xa5uc
drug allergy,Tetanus immunoglobulin allergy,Xa5ud
drug allergy,Varicella-zoster immunoglobulin allergy,Xa5ue
drug allergy,Vaccines allergy,Xa5uf
drug allergy,Anthrax vaccine allergy,Xa5ug
drug allergy,Diphtheria vaccines allergy,Xa5uh
drug allergy,Diphtheria single antigen vaccine allergy,Xa5ui
drug allergy,Diphtheria and tetanus vaccine allergy,Xa5uj
drug allergy,Diphtheria and tetanus and pertussis vaccine allergy,Xa5uk
drug allergy,Hepatitis B vaccine allergy,Xa5ul
drug allergy,Influenza vaccine allergy,Xa5um
drug allergy,Influenza split virion vaccine allergy,Xa5un
drug allergy,Influenza surface antigen vaccine allergy,Xa5uo
drug allergy,Mumps vaccine allergy,Xa5up
drug allergy,Pertussis vaccine allergy,Xa5uq
drug allergy,Pneumococcal vaccine allergy,Xa5ur
drug allergy,Poliomyelitis vaccine allergy,Xa5us
drug allergy,Rabies vaccine allergy,Xa5ut
drug allergy,Rubella vaccine allergy,Xa5uu
drug allergy,Smallpox vaccine allergy,Xa5uv
drug allergy,Tetanus vaccine allergy,Xa5uw
drug allergy,Typhoid vaccine allergy,Xa5ux
drug allergy,Typhoid polysaccharide vaccine allergy,Xa5uy
drug allergy,Typhoid whole cell vaccine allergy,Xa5uz
drug allergy,Measles/mumps/rubella vaccine allergy,Xa5v0
drug allergy,Hepatitis A vaccine allergy,Xa5v1
drug allergy,Haemophilus influenzae Type B vaccine allergy,Xa5v2
drug allergy,Meningococcal polysaccharide vaccine allergy,Xa5v3
drug allergy,Antisera allergy,Xa5v4
drug allergy,Clostridium botulinum allergy,Xa5v5
drug allergy,Botulism antitoxin allergy,Xa5v6
drug allergy,Diphtheria antitoxin allergy,Xa5v7
drug allergy,"Hormones, synthetic substitutes and antagonists allergy",Xa5v8
drug allergy,Glucagon allergy,Xa5v9
drug allergy,Antithyroid drug allergy,Xa5vA
drug allergy,Thiourea antithyroid agent allergy,Xa5vB
drug allergy,Carbimazole allergy,Xa5vC
drug allergy,Thiouracil antithyroid agent allergy,Xa5vD
drug allergy,Propylthiouracil allergy,Xa5vE
drug allergy,Corticosteroids allergy,Xa5vF
drug allergy,Betamethasone allergy,Xa5vG
drug allergy,Hydrocortisone allergy,Xa5vH
drug allergy,Topical hydrocortisone allergy,Xa5vI
drug allergy,Topical compound hydrocortisone preparation allergy,Xa5vJ
drug allergy,Prednisone allergy,Xa5vK
drug allergy,Fluorometholone allergy,Xa5vL
drug allergy,Flunisolide allergy,Xa5vM
drug allergy,Desonide allergy,Xa5vN
drug allergy,Desoximetasone allergy,Xa5vO
drug allergy,Fluocinonide allergy,Xa5vP
drug allergy,Fluocortolone allergy,Xa5vQ
drug allergy,Fludroxycortide allergy,Xa5vR
drug allergy,Halcinonide allergy,Xa5vS
drug allergy,Alclometasone allergy,Xa5vT
drug allergy,Beclometasone allergy,Xa5vU
drug allergy,Clobetasol allergy,Xa5vV
drug allergy,Clobetasone allergy,Xa5vW
drug allergy,Cortisone allergy,Xa5vX
drug allergy,Diflucortolone allergy,Xa5vY
drug allergy,Fluclorolone allergy,Xa5vZ
drug allergy,Fludrocortisone allergy,Xa5va
drug allergy,Fluocinolone allergy,Xa5vb
drug allergy,Fluticasone allergy,Xa5vc
drug allergy,Mometasone allergy,Xa5vd
drug allergy,Dexamethasone allergy,Xa5ve
drug allergy,Topical dexamethasone allergy,Xa5vf
drug allergy,Topical compound dexamethasone preparation allergy,Xa5vg
drug allergy,Methylprednisolone allergy,Xa5vh
drug allergy,Prednisolone allergy,Xa5vi
drug allergy,Topical prednisolone allergy,Xa5vj
drug allergy,Prednisolone drops allergy,Xa5vk
drug allergy,Rectal prednisolone preparations allergy,Xa5vl
drug allergy,Triamcinolone allergy,Xa5vm
drug allergy,Budesonide allergy,Xa5vn
drug allergy,Topical budesonide allergy,Xa5vo
drug allergy,Insulin allergy,Xa5vp
drug allergy,Soluble neutral insulin allergy,Xa5vq
drug allergy,Biphasic insulin allergy,Xa5vr
drug allergy,Insulin zinc suspension allergy,Xa5vs
drug allergy,Insulin zinc suspension (amorphous) allergy,Xa5vt
drug allergy,Insulin zinc suspension (crystalline) allergy,Xa5vu
drug allergy,Isophane insulin allergy,Xa5vv
drug allergy,Protamine zinc insulin allergy,Xa5vw
drug allergy,Biphasic isophane insulin allergy,Xa5vx
drug allergy,Humulin insulin allergy,Xa5vy
drug allergy,Initard insulin allergy,Xa5vz
drug allergy,Pur-In-Mix insulin allergy,Xa5w0
drug allergy,Mixtard insulin allergy,Xa5w1
drug allergy,Oral hypoglycaemic allergy,Xa5w2
drug allergy,Sulphonylurea allergy,Xa5w3
drug allergy,Acetohexamide allergy,Xa5w4
drug allergy,Chlorpropamide allergy,Xa5w5
drug allergy,Glibenclamide allergy,Xa5w6
drug allergy,Glibornuride allergy,Xa5w7
drug allergy,Gliclazide allergy,Xa5w8
drug allergy,Glipizide allergy,Xa5w9
drug allergy,Gliquidone allergy,Xa5wA
drug allergy,Glymidine allergy,Xa5wB
drug allergy,Tolazamide allergy,Xa5wC
drug allergy,Tolbutamide allergy,Xa5wD
drug allergy,Biguanide allergy,Xa5wE
drug allergy,Metformin allergy,Xa5wF
drug allergy,Guar gum allergy,Xa5wG
drug allergy,Acarbose allergy,Xa5wH
drug allergy,Sex hormones allergy,Xa5wI
drug allergy,Progestogen allergy,Xa5wJ
drug allergy,Allyloestrenol allergy,Xa5wK
drug allergy,Dydrogesterone allergy,Xa5wL
drug allergy,Progesterone allergy,Xa5wM
drug allergy,Gestonorone allergy,Xa5wN
drug allergy,Hydroxyprogesterone allergy,Xa5wO
drug allergy,Megestrol allergy,Xa5wP
drug allergy,Norethisterone allergy,Xa5wQ
drug allergy,Etynodiol diacetate allergy,Xa5wR
drug allergy,Levonorgestrel allergy,Xa5wS
drug allergy,Medroxyprogesterone allergy,Xa5wT
drug allergy,Anabolic steroids allergy,Xa5wU
drug allergy,Tibolone allergy,Xa5wV
drug allergy,Drostanolone propionate allergy,Xa5wW
drug allergy,Oxymetholone allergy,Xa5wX
drug allergy,Nandrolone allergy,Xa5wY
drug allergy,Stanozolol allergy,Xa5wZ
drug allergy,Cyclofenil allergy,Xa5wa
drug allergy,Danazol allergy,Xa5wb
drug allergy,Gestrinone allergy,Xa5wc
drug allergy,Anti-androgens allergy,Xa5wd
drug allergy,Finasteride allergy,Xa5we
drug allergy,Flutamide allergy,Xa5wf
drug allergy,Bicalutamide allergy,Xa5wg
drug allergy,Cyproterone acetate and ethinylestradiol allergy,Xa5wh
drug allergy,Cyproterone allergy,Xa5wi
drug allergy,Combined oral contraceptive allergy,Xa5wj
drug allergy,Androgen allergy,Xa5wk
drug allergy,Mesterolone allergy,Xa5wl
drug allergy,Methyltestosterone allergy,Xa5wm
drug allergy,Testosterone allergy,Xa5wn
drug allergy,Testosterone implant allergy,Xa5wo
drug allergy,Intramuscular testosterone allergy,Xa5wp
drug allergy,Oral testosterone allergy,Xa5wq
drug allergy,Testosterone patch allergy,Xa5wr
drug allergy,Oestrogen allergy,Xa5ws
drug allergy,Estradiol allergy,Xa5wt
drug allergy,Oral estradiol allergy,Xa5wu
drug allergy,Estradiol implant allergy,Xa5wv
drug allergy,Topical estradiol allergy,Xa5ww
drug allergy,Piperazine estrone sulphate allergy,Xa5wx
drug allergy,Quinestradol allergy,Xa5wy
drug allergy,Quinestrol allergy,Xa5wz
drug allergy,Dienestrol allergy,Xa5x0
drug allergy,Polyestradiol phosphate allergy,Xa5x1
drug allergy,Fosfestrol allergy,Xa5x2
drug allergy,Mestranol allergy,Xa5x3
drug allergy,Ethinylestradiol allergy,Xa5x4
drug allergy,Estriol allergy,Xa5x5
drug allergy,Conjugated oestrogens allergy,Xa5x6
drug allergy,Diethylstilbestrol allergy,Xa5x7
drug allergy,Oestrogen and progestogen preparation allergy,Xa5x8
drug allergy,Clomifene allergy,Xa5x9
drug allergy,Ergoline drug allergy,Xa5xA
drug allergy,Cabergoline allergy,Xa5xB
drug allergy,Quinagolide allergy,Xa5xC
drug allergy,Thyroid agent allergy,Xa5xD
drug allergy,Liothyronine allergy,Xa5xE
drug allergy,Thyroxine allergy,Xa5xF
drug allergy,Hypothalamic/pituitary hormone allergy,Xa5xG
drug allergy,Antidiuretic hormone allergy,Xa5xH
drug allergy,Desmopressin allergy,Xa5xI
drug allergy,Lypressin allergy,Xa5xJ
drug allergy,Terlipressin allergy,Xa5xK
drug allergy,Vasopressin allergy,Xa5xL
drug allergy,Corticotrophic hormone allergy,Xa5xM
drug allergy,Corticotropins allergy,Xa5xN
drug allergy,Tetracosactide allergy,Xa5xO
drug allergy,Gonad regulating hormone allergy,Xa5xP
drug allergy,Gonadorelin allergy,Xa5xQ
drug allergy,Nafarelin allergy,Xa5xR
drug allergy,Buserelin allergy,Xa5xS
drug allergy,Goserelin allergy,Xa5xT
drug allergy,Triptorelin allergy,Xa5xU
drug allergy,Gonadotrophic hormone allergy,Xa5xV
drug allergy,Leuprorelin allergy,Xa5xW
drug allergy,Oxytocic hormone allergy,Xa5xX
drug allergy,Oxytocin allergy,Xa5xY
drug allergy,Oxytocin and ergometrine allergy,Xa5xZ
drug allergy,Somatrophic hormone allergy,Xa5xa
drug allergy,Octreotide allergy,Xa5xb
drug allergy,Growth hormone allergy,Xa5xc
drug allergy,Thyrotrophic hormone allergy,Xa5xd
drug allergy,Protirelin allergy,Xa5xe
drug allergy,Thyrotrophin allergy,Xa5xf
drug allergy,Calcium regulating agent allergy,Xa5xg
drug allergy,Biphosphonates allergy,Xa5xh
drug allergy,Disodium etidronate allergy,Xa5xi
drug allergy,Disodium pamidronate allergy,Xa5xj
drug allergy,Sodium clodronate allergy,Xa5xk
drug allergy,Disodium etidronate and calcium carbonate allergy,Xa5xl
drug allergy,Calcium regulating hormone allergy,Xa5xm
drug allergy,Calcitonin allergy,Xa5xn
drug allergy,Calcitonin (salmon) allergy,Xa5xo
drug allergy,Calcitonin (pork) allergy,Xa5xp
drug allergy,Haematological agents allergy,Xa5xq
drug allergy,Erythropoietin allergy,Xa5xr
drug allergy,Epoetin alfa allergy,Xa5xs
drug allergy,Epoetin beta allergy,Xa5xt
drug allergy,Plasma substitutes allergy,Xa5xu
drug allergy,Gelatin allergy,Xa5xv
drug allergy,Hetastarch allergy,Xa5xw
drug allergy,Pentastarch allergy,Xa5xx
drug allergy,Dextran allergy,Xa5xy
drug allergy,Perfluorochemical allergy,Xa5xz
drug allergy,Plasma protein solution allergy,Xa5y0
drug allergy,Blood derivative allergy,Xa5y1
drug allergy,Albumin solution allergy,Xa5y2
drug allergy,Antithrombin III allergy,Xa5y3
drug allergy,Blood clotting factor allergy,Xa5y4
drug allergy,Factor VIII fraction products allergy,Xa5y5
drug allergy,Factor IX fraction products allergy,Xa5y6
drug allergy,Activated factor VII products allergy,Xa5y7
drug allergy,Acset allergy,Xa5y8
drug allergy,Factor IX by-passing fraction products allergy,Xa5y9
drug allergy,Factor V concentrate products allergy,Xa5yA
drug allergy,Factor VII concentrate products allergy,Xa5yB
drug allergy,Factor VIII by-passing fraction products allergy,Xa5yC
drug allergy,Factor XI products allergy,Xa5yD
drug allergy,Factor XIII products allergy,Xa5yE
drug allergy,von Willebrand factor products allergy,Xa5yF
drug allergy,Anticoagulant allergy,Xa5yG
drug allergy,Direct acting anticoagulant allergy,Xa5yH
drug allergy,Ancrod allergy,Xa5yI
drug allergy,Heparin allergy,Xa5yJ
drug allergy,Enoxaparin allergy,Xa5yK
drug allergy,Dalteparin allergy,Xa5yL
drug allergy,Tinzaparin allergy,Xa5yM
drug allergy,Heparinoid allergy,Xa5yN
drug allergy,Danaparoid sodium allergy,Xa5yO
drug allergy,Indirect acting anticoagulant allergy,Xa5yP
drug allergy,Coumarin anticoagulant allergy,Xa5yQ
drug allergy,Acenocoumarol allergy,Xa5yR
drug allergy,Warfarin allergy,Xa5yS
drug allergy,Indanedione anticoagulant allergy,Xa5yT
drug allergy,Phenindione allergy,Xa5yU
drug allergy,Haemostatic allergy,Xa5yV
drug allergy,Etamsylate allergy,Xa5yW
drug allergy,Thromboplastin allergy,Xa5yX
drug allergy,Tranexamic acid allergy,Xa5yY
drug allergy,Collagen allergy,Xa5yZ
drug allergy,Aprotinin allergy,Xa5ya
drug allergy,"Foods, vitamins, electrolytes and inorganic salts allergy",Xa5yb
drug allergy,Iron allergy,Xa5yc
drug allergy,Iron and folic acid allergy,Xa5yd
drug allergy,Polysaccharide iron complex allergy,Xa5ye
drug allergy,Sodium feredetate allergy,Xa5yf
drug allergy,Compound iron preparations allergy,Xa5yg
drug allergy,Iron sorbitol allergy,Xa5yh
drug allergy,Ferrous salt allergy,Xa5yi
drug allergy,Ferrous fumarate allergy,Xa5yj
drug allergy,Ferrous gluconate allergy,Xa5yk
drug allergy,Ferrous glycine sulphate allergy,Xa5yl
drug allergy,Ferrous succinate allergy,Xa5ym
drug allergy,Ferrous sulphate allergy,Xa5yn
drug allergy,Ferrous phosphate allergy,Xa5yo
drug allergy,Intravenous nutrition allergy,Xa5yp
drug allergy,Supplementary preparations for parenteral nutrition allergy,Xa5yq
drug allergy,Intravenous nutrition (electrolytes/trace elements) allergy,Xa5yr
drug allergy,Intravenous nutrition (vitamins) allergy,Xa5ys
drug allergy,Intravenous nutrition (amino acids) allergy,Xa5yt
drug allergy,Intravenous nutrition (carbohydrate) allergy,Xa5yu
drug allergy,Intravenous nutrition (fats) allergy,Xa5yv
drug allergy,Intravenous nutrition (ready mixed) allergy,Xa5yw
drug allergy,L-Carnitine allergy,Xa5yx
drug allergy,Iodine compounds allergy,Xa5yy
drug allergy,Iodine allergy,Xa5yz
drug allergy,Iodophore allergy,Xa5z0
drug allergy,Povidone iodine allergy,Xa5z1
drug allergy,Multiple electrolyte infusion allergy,Xa5z2
drug allergy,Enteral and supplement feeds allergy,Xa5z3
drug allergy,Oral rehydration salts allergy,Xa5z4
drug allergy,Vitamin products allergy,Xa5z5
drug allergy,Multivitamin and mineral preparations allergy,Xa5z6
drug allergy,Fat soluble vitamin allergy,Xa5z7
drug allergy,Vitamin A allergy,Xa5z8
drug allergy,Vitamin D allergy,Xa5z9
drug allergy,Vitamin K allergy,Xa5zA
drug allergy,Alpha-tocopheryl allergy,Xa5zB
drug allergy,Water soluble vitamin allergy,Xa5zC
drug allergy,Vitamin B group allergy,Xa5zD
drug allergy,Nicotinic acid allergy,Xa5zE
drug allergy,Folic acid allergy,Xa5zF
drug allergy,Folinic acid allergy,Xa5zG
drug allergy,Vitamin B12 preparation allergy,Xa5zH
drug allergy,Hydroxocobalamin allergy,Xa5zI
drug allergy,Cyanocobalamin allergy,Xa5zJ
drug allergy,Nicotinamide allergy,Xa5zK
drug allergy,Vitamin B complex preparations allergy,Xa5zL
drug allergy,Inositol allergy,Xa5zM
drug allergy,Pyridoxine preparation allergy,Xa5zN
drug allergy,Thiamine preparation allergy,Xa5zO
drug allergy,Ascorbic acid allergy,Xa5zP
drug allergy,Ion exchange resin allergy,Xa5zQ
drug allergy,Cation exchange resin allergy,Xa5zR
drug allergy,Sodium cellulose phosphate allergy,Xa5zS
drug allergy,Calcium polystyrene sulphonate allergy,Xa5zT
drug allergy,Sodium polystyrene sulphonate allergy,Xa5zU
drug allergy,Potassium allergy,Xa5zV
drug allergy,Oral potassium allergy,Xa5zW
drug allergy,Parenteral potassium allergy,Xa5zX
drug allergy,Electrolyte anion allergy,Xa5zY
drug allergy,Zinc allergy,Xa5zZ
drug allergy,Fluoride allergy,Xa5za
drug allergy,Sodium fluoride allergy,Xa5zb
drug allergy,Drug groups primarily affecting cardiovascular syst allergy,Xa5zc
drug allergy,Lipid-lowering drug allergy,Xa5zd
drug allergy,Dextrothyroxine sodium allergy,Xa5ze
drug allergy,Gemfibrozil allergy,Xa5zf
drug allergy,Probucol allergy,Xa5zg
drug allergy,Acipimox allergy,Xa5zh
drug allergy,Anion exchange resins allergy,Xa5zi
drug allergy,Colestipol allergy,Xa5zj
drug allergy,Colestyramine allergy,Xa5zk
drug allergy,Clofibrate group allergy,Xa5zl
drug allergy,Bezafibrate allergy,Xa5zm
drug allergy,Clofibrate allergy,Xa5zn
drug allergy,Fenofibrate allergy,Xa5zo
drug allergy,Ciprofibrate allergy,Xa5zp
drug allergy,Fish oils allergy,Xa5zq
drug allergy,Omega 3-marine triglycerides allergy,Xa5zr
drug allergy,HMG COA reductase inhibitor allergy,Xa5zs
drug allergy,Simvastatin allergy,Xa5zt
drug allergy,Fluvastatin allergy,Xa5zu
drug allergy,Pravastatin allergy,Xa5zv
drug allergy,Antiarrhythmic drug allergy,Xa5zw
drug allergy,Adenosine allergy,Xa5zx
drug allergy,Class I antiarrhythmic allergy,Xa5zy
drug allergy,Disopyramide allergy,Xa5zz
drug allergy,Quinidine allergy,Xa600
drug allergy,Flecainide allergy,Xa601
drug allergy,Mexiletine allergy,Xa602
drug allergy,Moracizine allergy,Xa603
drug allergy,Procainamide allergy,Xa604
drug allergy,Propafenone allergy,Xa605
drug allergy,Tocainide allergy,Xa606
drug allergy,Class II antiarrhythmic allergy,Xa607
drug allergy,Bretylium allergy,Xa608
drug allergy,Class III antiarrhythmic allergy,Xa609
drug allergy,Amiodarone allergy,Xa60A
drug allergy,Class IV antiarrhythmic allergy,Xa60B
drug allergy,Diuretic allergy,Xa60C
drug allergy,Thiazide diuretic allergy,Xa60D
drug allergy,Bendroflumethiazide allergy,Xa60E
drug allergy,Chlorothiazide allergy,Xa60F
drug allergy,Cyclopenthiazide allergy,Xa60G
drug allergy,Hydrochlorothiazide allergy,Xa60H
drug allergy,Hydroflumethiazide allergy,Xa60I
drug allergy,Methyclothiazide allergy,Xa60J
drug allergy,Polythiazide allergy,Xa60K
drug allergy,Loop diuretic allergy,Xa60L
drug allergy,Furosemide allergy,Xa60M
drug allergy,Bumetanide allergy,Xa60N
drug allergy,Etacrynic acid allergy,Xa60O
drug allergy,Piretanide allergy,Xa60P
drug allergy,Torasemide allergy,Xa60Q
drug allergy,Potassium sparing diuretic allergy,Xa60R
drug allergy,Triamterene allergy,Xa60S
drug allergy,Aldosterone antagonists allergy,Xa60T
drug allergy,Potassium canrenoate allergy,Xa60U
drug allergy,Spironolactone allergy,Xa60V
drug allergy,Amiloride allergy,Xa60W
drug allergy,Potassium sparing compound diuretic allergy,Xa60X
drug allergy,Amiloride and loop diuretic allergy,Xa60Y
drug allergy,Amiloride and thiazide diuretic allergy,Xa60Z
drug allergy,Spironolactone and loop diuretic allergy,Xa60a
drug allergy,Spironolactone and thiazide diuretic allergy,Xa60b
drug allergy,Triamterene and loop diuretic allergy,Xa60c
drug allergy,Triamterene and thiazide diuretic allergy,Xa60d
drug allergy,Osmotic diuretic allergy,Xa60e
drug allergy,Mannitol allergy,Xa60f
drug allergy,Mercurial diuretic allergy,Xa60g
drug allergy,Mersalyl allergy,Xa60h
drug allergy,Thiazide-related diuretic allergy,Xa60i
drug allergy,Chlortalidone allergy,Xa60j
drug allergy,Indapamide allergy,Xa60k
drug allergy,Mefruside allergy,Xa60l
drug allergy,Metolazone allergy,Xa60m
drug allergy,Xipamide allergy,Xa60n
drug allergy,Carbonic anhydrase inhibitor allergy,Xa60o
drug allergy,Dichlorphenamide allergy,Xa60p
drug allergy,Acetazolamide allergy,Xa60q
drug allergy,Antihypertensive allergy,Xa60r
drug allergy,Adrenergic neurone blocking drug allergy,Xa60s
drug allergy,Bethanidine allergy,Xa60t
drug allergy,Debrisoquine allergy,Xa60u
drug allergy,Guanethidine allergy,Xa60v
drug allergy,Angiotensin-converting-enzyme inhibitor allergy,Xa60w
drug allergy,Captopril allergy,Xa60x
drug allergy,Lisinopril allergy,Xa60y
